OBJECTID,NAME,CODE,AREA,GRID_REF,EASTING,NORTHING,LATITUDE,LONGITUDE,NAME0,STATUS,ID,FILE,AREA0,EASTING0,NORTHING0,GIS_DATE,VERSION,Shape__Area,Shape__Length,GlobalID
30,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,1.32821632746752,599341.697414,207899.338915,20060329,1,13282.1632843018,479.394332096903,a563e978-f833-4902-9bc0-253fdb4803fe
31,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,1.00190871535655,587175.772188,206222.068157,20060329,1,10019.0871276855,579.946384753503,1ab7a03c-4280-4cab-91ba-7c88e211dcd7
32,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.775099485657506,587932.969641,207422.393223,20060329,1,7750.99482727051,485.615254416338,ea0e018b-07b7-40e9-9324-3c94d3ee4307
33,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.604892916404582,590421.358496,202973.435951,20060329,1,6048.92910766602,371.553919023946,a6d7a03b-7e11-4c36-aaa1-677c05de6fe6
34,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.598531814385355,589446.226857,205488.005459,20060329,1,5985.31810760498,465.161796343936,b7cb9ca6-9278-4121-b53b-ca4c04f31782
35,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.4934095703519,596967.998583,213338.30331,20060329,1,4934.09574127197,383.659082600403,3f5887b4-103d-4ea3-877e-6ef5d9bc2b30
36,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.376074563611149,596515.859139,213145.668113,20060329,1,3760.74560546875,289.812099507562,f755f27a-0e96-44ed-b990-3e139d09a94d
37,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.302620314544305,589432.572403,205363.586817,20060329,1,3026.20317077637,300.330240825918,203d78b3-611f-4886-9d45-2a5dd5998723
38,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.243395978309376,590346.754172,206859.827007,20060329,1,2433.95977020264,302.812147070654,c6fd9f43-ae2d-4a7d-a324-402e878fca42
39,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.235692578529847,590290.701278,202806.849211,20060329,1,2356.92581176758,254.896101280437,9ded1d04-55d2-41c8-a735-42a1f46aaa33
40,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.195747085621314,589285.060646,205537.298357,20060329,1,1957.4708404541,253.742179304709,6fd3a567-8b9b-4afe-bbed-2aff1f63bade
41,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.151670779124108,588894.805761,205519.627893,20060329,1,1516.70777130127,220.873936058982,21f48f8a-5ae8-40e3-a22a-173edc86ce28
42,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.139108839905912,592636.07546,205541.099336,20060329,1,1391.08846282959,220.883849436337,a2408ea4-b90f-4b94-8a2a-fb1e437eaa09
