Area,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Isles of Scilly,E06000053,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Coventry,E08000026,1865,2364,2364,1865,2364,2364,1863,2364,2364,1.1%,1.4%,1.4%,1.1%,1.4%,1.4%,1.1%,1.4%,1.4%
Cumbria,E10000006,17263,33168,33889,17472,33450,34174,17668,34430,35178,4.5%,8.7%,8.9%,4.6%,8.8%,8.9%,4.6%,9.0%,9.2%
Darlington,E06000005,1097,1658,1661,1096,1658,1661,1106,1658,1661,1.8%,2.7%,2.7%,1.8%,2.7%,2.7%,1.8%,2.7%,2.7%
Derby,E06000015,8010,11767,11917,8010,11768,11918,8010,11769,11918,5.8%,8.6%,8.7%,5.8%,8.6%,8.7%,5.8%,8.6%,8.7%
Derbyshire,E10000007,13156,33764,36797,13169,33775,36806,13174,33775,36807,2.8%,7.2%,7.9%,2.8%,7.2%,7.9%,2.8%,7.2%,7.9%
Devon,E10000008,39230,52641,53867,38707,51723,52792,39460,52666,53737,6.7%,9.0%,9.3%,6.7%,8.9%,9.1%,6.8%,9.1%,9.2%
Doncaster,E08000017,21029,27185,32170,21053,27209,32195,21151,27401,32384,12.6%,16.3%,19.3%,12.6%,16.3%,19.3%,12.7%,16.4%,19.4%
Dorset,E06000059,6637,11673,12589,6510,11483,12390,6624,11655,12598,2.6%,4.5%,4.8%,2.5%,4.4%,4.8%,2.5%,4.5%,4.8%
Dudley,E08000027,969,1396,1396,1223,1651,1651,1225,1651,1652,0.6%,0.9%,0.9%,0.7%,1.0%,1.0%,0.7%,1.0%,1.0%
County Durham,E06000047,3826,5622,5644,3847,5732,5753,3107,5006,5027,1.2%,1.8%,1.8%,1.2%,1.9%,1.9%,1.0%,1.6%,1.6%
East Riding of Yorkshire,E06000011,20474,50527,51746,20517,50582,51801,21973,52317,53567,8.6%,21.3%,21.8%,8.6%,21.3%,21.8%,9.3%,22.0%,22.6%
East Sussex,E10000011,6591,26733,30179,6590,26733,30186,6576,26883,30327,2.0%,8.1%,9.1%,2.0%,8.1%,9.1%,2.0%,8.1%,9.1%
Essex,E10000012,12703,33913,58807,13030,37090,62906,13134,37338,63017,1.5%,4.1%,7.0%,1.6%,4.4%,7.5%,1.6%,4.5%,7.5%
Gateshead,E08000037,404,1062,1062,468,931,931,481,1105,1105,0.4%,1.0%,1.0%,0.4%,0.8%,0.8%,0.4%,1.0%,1.0%
Gloucestershire,E10000013,18217,26508,27490,18342,26664,27649,18554,27281,28270,4.6%,6.6%,6.9%,4.6%,6.7%,6.9%,4.6%,6.8%,7.1%
London,E12000007,56099,144887,578745,56045,148622,582630,59046,151389,584103,1.4%,3.7%,14.9%,1.4%,3.8%,15.0%,1.5%,3.9%,15.0%
Halton,E06000006,404,905,1219,801,1479,1583,803,1479,1583,0.6%,1.4%,1.9%,1.2%,2.3%,2.5%,1.3%,2.3%,2.5%
Hampshire,E10000014,20963,29827,30341,21651,32536,33101,22572,34492,35079,2.8%,3.9%,4.0%,2.9%,4.3%,4.4%,3.0%,4.5%,4.6%
Hartlepool,E06000001,1002,1780,1799,1001,1780,1799,1001,1780,1799,2.0%,3.5%,3.5%,1.9%,3.5%,3.5%,1.9%,3.5%,3.5%
Hertfordshire,E10000015,9717,19720,21941,11021,20452,22480,11550,20655,22636,1.6%,3.3%,3.7%,1.9%,3.5%,3.8%,2.0%,3.5%,3.8%
"Herefordshire, County of",E06000019,5967,8544,8900,5969,8546,8902,6280,9245,9601,4.0%,5.7%,5.9%,4.0%,5.7%,5.9%,4.2%,6.2%,6.4%
