Name,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Cotswold District,E07000079,4132,5085,5085,4135,5086,5086,4148,5104,5104,6.0%,7.4%,7.4%,6.0%,7.4%,7.4%,6.0%,7.4%,7.4%
County Durham,E06000047,3826,5622,5644,3847,5732,5753,3107,5006,5027,1.2%,1.8%,1.8%,1.2%,1.9%,1.9%,1.0%,1.6%,1.6%
County of Herefordshire,E06000019,5967,8544,8900,5969,8546,8902,6280,9245,9601,4.0%,5.7%,5.9%,4.0%,5.7%,5.9%,4.2%,6.2%,6.4%
Coventry District (B),E08000026,1865,2364,2364,1865,2364,2364,1863,2364,2364,1.1%,1.4%,1.4%,1.1%,1.4%,1.4%,1.1%,1.4%,1.4%
Craven District,E07000163,4427,5425,5629,4237,5279,5483,4275,5334,5550,9.3%,11.4%,11.9%,8.9%,11.1%,11.6%,9.0%,11.2%,11.7%
Crawley District (B),E07000226,2933,4527,4527,2933,4527,4527,2930,4527,4527,5.1%,7.9%,7.9%,5.1%,7.9%,7.9%,5.1%,7.9%,7.9%
Croydon London Boro,E09000008,5030,5307,5307,5030,5282,5282,5029,5282,5282,3.0%,3.1%,3.1%,3.0%,3.1%,3.1%,3.0%,3.1%,3.1%
Dacorum District (B),E07000096,398,625,933,476,761,1075,476,761,1075,0.5%,0.8%,1.2%,0.6%,1.0%,1.4%,0.6%,1.0%,1.4%
Darlington (B),E06000005,1097,1658,1661,1096,1658,1661,1106,1658,1661,1.8%,2.7%,2.7%,1.8%,2.7%,2.7%,1.8%,2.7%,2.7%
Dartford District (B),E07000107,1023,2046,4527,1101,2235,4943,1101,2228,4943,2.0%,4.0%,8.9%,2.2%,4.4%,9.7%,2.2%,4.4%,9.7%
Daventry District,E07000151,546,719,734,563,736,751,563,736,751,1.0%,1.4%,1.4%,1.1%,1.4%,1.4%,1.1%,1.4%,1.4%
Derbyshire Dales District,E07000035,2892,4171,4245,2892,4171,4245,2892,4171,4245,5.0%,7.2%,7.3%,5.0%,7.2%,7.3%,5.0%,7.2%,7.3%
Doncaster District (B),E08000017,21029,27185,32170,21053,27209,32195,21151,27401,32384,12.6%,16.3%,19.3%,12.6%,16.3%,19.3%,12.7%,16.4%,19.4%
Dorset,E06000059,6637,11673,12589,6510,11483,12390,6624,11655,12598,2.6%,4.5%,4.8%,2.5%,4.4%,4.8%,2.5%,4.5%,4.8%
Dover District,E07000108,1705,5277,5277,2157,8925,8925,2153,8918,8918,2.6%,7.9%,7.9%,3.2%,13.4%,13.4%,3.2%,13.4%,13.4%
Dudley District (B),E08000027,969,1396,1396,1223,1651,1651,1225,1651,1652,0.6%,0.9%,0.9%,0.7%,1.0%,1.0%,0.7%,1.0%,1.0%
Ealing London Boro,E09000009,1480,2226,3867,1480,2226,3867,1505,2226,3867,0.9%,1.4%,2.4%,0.9%,1.4%,2.4%,0.9%,1.4%,2.4%
East Cambridgeshire District,E07000009,2946,4161,4431,2946,4161,4431,2946,4161,4431,5.4%,7.6%,8.1%,5.4%,7.6%,8.1%,5.4%,7.6%,8.1%
