FID,AreaServed,ID,COMPANY,Acronym,CoType,AreaType,WARNINGS,Shape__Area,Shape__Length
337,West Raynham,53,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,643028.574035645,4875.23457449246
338,Westridge Village,54,Icosa Water Services Ltd,ICW,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,42768.695930481,974.293782169703
339,"Ashby Road, Tamworth",60,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,755949.194015503,4962.96337226067
340,Greetwell Fields,79,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,198353.693267822,2359.04662828044
341,"Berryfields, Aylesbury",61,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,1942824.8194046,8183.93673082535
342,"Great Billing Way, Northampton",77,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,47945.7394332886,1065.8471982678
343,Greenwich Millennium Village,78,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,105248.512138367,2188.26660602636
344,King's Cross Central,82,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,234320.605003357,2527.41292255532
345,"Long Croft Road, Stannion, Corby",86,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,415540.163726807,2791.52470218159
346,"Priors Hall, Corby",100,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,3710738.59191895,10385.8967380402
347,"The Bridge, Dartford",103,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,261511.052017212,2683.43656462014
348,Bidwell West plus variation,62,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,1989253.84111023,11496.9085371673
349,Bishops Stortford,63,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,1145079.98875427,6968.41911005461
350,Blythe Valley Park,64,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,383384.561050415,3189.02771476151
351,Chilmington Green,67,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,4249631.18979645,12320.7660474037
352,Clipstone Park,68,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,1240838.20959473,7893.2999014085
353,Cockering Road,69,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,614803.847732544,4880.00143359108
354,Colney Lane,70,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,541009.258758545,3699.97590032398
355,Cowdray Centre,71,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,49853.3878173828,1152.91206997295
356,Europa Way,73,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,402961.846138,3475.41923786076
357,Factory Lane,74,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,91435.0130615234,1565.64775545754
358,Henley Road,80,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,792661.841674805,5285.16354596116
359,Ings Lane,81,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,503519.988845825,5864.00471434064
